,airports,dates,day_before
473,BGR,2008-01-01 17:55:00,17.916666666666668
474,BTV,2008-01-01 18:09:00,18.15
475,AVP,2008-01-01 18:18:00,18.3
476,SPI,2008-01-01 18:23:00,18.383333333333333
477,SUX,2008-01-01 18:24:00,18.4
478,LSE,2008-01-01 18:40:00,18.666666666666668
479,TWF,2008-01-01 18:53:00,18.883333333333333
480,OTZ,2008-01-01 18:55:00,18.916666666666668
481,SPS,2008-01-01 18:55:00,18.916666666666668
482,TVC,2008-01-01 18:55:00,18.916666666666668
483,ACV,2008-01-01 19:04:00,19.066666666666666
484,ACV,2008-01-01 19:14:00,19.233333333333334
485,BRW,2008-01-01 19:20:00,19.333333333333332
486,TOL,2008-01-01 19:26:00,19.433333333333334
487,AZO,2008-01-01 19:28:00,19.466666666666665
488,MEI,2008-01-01 19:34:00,19.566666666666666
489,BET,2008-01-01 19:49:00,19.816666666666666
490,KTN,2008-01-01 20:00:00,20.0
491,IYK,2008-01-01 20:01:00,20.016666666666666
492,LNK,2008-01-01 20:02:00,20.033333333333335
493,MCN,2008-01-01 20:03:00,20.05
494,COD,2008-01-01 20:06:00,20.1
495,SPI,2008-01-01 20:07:00,20.116666666666667
496,OME,2008-01-01 20:12:00,20.2
497,LYH,2008-01-01 20:13:00,20.216666666666665
498,ROW,2008-01-01 20:27:00,20.45
499,SCE,2008-01-01 20:51:00,20.85
500,PMD,2008-01-01 20:52:00,20.866666666666667
501,CMI,2008-01-01 20:57:00,20.95
502,LCH,2008-01-01 20:59:00,20.983333333333334
503,EKO,2008-01-01 21:09:00,21.15
504,JNU,2008-01-01 21:20:00,21.333333333333332
505,JNU,2008-01-01 21:33:00,21.55
506,EYW,2008-01-01 21:35:00,21.583333333333332
507,OAJ,2008-01-01 21:40:00,21.666666666666668
508,VLD,2008-01-01 21:55:00,21.916666666666668
509,LNK,2008-01-01 21:57:00,21.95
510,TUP,2008-01-01 21:59:00,21.983333333333334
511,AVP,2008-01-01 22:04:00,22.066666666666666
512,SBN,2008-01-01 22:05:00,22.083333333333332
513,YKM,2008-01-01 22:05:00,22.083333333333332
514,SLE,2008-01-01 22:06:00,22.1
515,LWS,2008-01-01 22:07:00,22.116666666666667
516,BLI,2008-01-01 22:10:00,22.166666666666668
517,BPT,2008-01-01 22:10:00,22.166666666666668
518,MQT,2008-01-01 22:13:00,22.216666666666665
519,ACY,2008-01-01 22:40:00,22.666666666666668
520,SIT,2008-01-01 22:43:00,22.716666666666665
521,AVP,2008-01-01 22:54:00,22.9
522,RFD,2008-01-01 22:55:00,22.916666666666668
523,BTM,2008-01-01 23:03:00,23.05
524,LSE,2008-01-01 23:06:00,23.1
525,MQT,2008-01-01 23:32:00,23.533333333333335
526,ACV,2008-01-01 23:42:00,23.7
527,BQN,2008-01-02 03:43:00,3.716666666666667
528,PSE,2008-01-02 04:09:00,4.15
529,PSE,2008-01-02 04:55:00,4.916666666666667
530,BQN,2008-01-02 05:29:00,5.483333333333333
531,ACV,2008-01-02 08:04:00,8.066666666666666
532,SCC,2008-01-02 08:32:00,8.533333333333333
533,WRG,2008-01-02 09:26:00,9.433333333333334
534,PMD,2008-01-02 09:58:00,9.966666666666667
535,ABY,2008-01-02 10:27:00,10.45
536,MOT,2008-01-02 10:40:00,10.666666666666666
537,TEX,2008-01-02 11:30:00,11.5
538,LWS,2008-01-02 11:33:00,11.55
539,GTR,2008-01-02 11:40:00,11.666666666666666
540,YAK,2008-01-02 11:43:00,11.716666666666667
541,YKM,2008-01-02 11:47:00,11.783333333333333
