OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1858732,"4582,621297","5046,368094","4761,040552","5557,015403","4988,896628","4953,457087","4558,828226","5119,873432","4809,576267","5745,86934","5466,953327","4475,113263","5179,277233","4949,482644","5234,437979","5012,127905","4991,379258","4956,927642","4490,272205","4575,855028","5026,492726"
-1858731,"6294,788102","6398,86865","6204,660319","6250,463426","6136,261258","6204,496961","6382,398927","6314,837545","6471,481287","6117,529917","6447,38765","6260,198355","6552,077244","6446,69007","6434,330075","6638,29336","6640,694481","6560,062463","6663,903087","6418,941471","6255,395041"
-1858730,"3507,930921","4956,237452","4584,101599","5492,200591","5024,467204","4944,942382","4753,132377","4807,34433","4898,075755","5037,920774","4707,764134","4513,380946","4872,992159","3850,284581","4398,642297","5302,212377","4798,063295","4940,547684","4608,748378","4572,567842","4346,887071"
-1858729,"5865,092141","6117,371951","5789,1625","6841,230556","6211,959028","6141,65742","5749,228849","6388,236477","5566,734397","6552,105482","6633,07703","5628,601389","5987,019526","6244,677622","6277,77381","6934,590345","6642,811295","6024,497931","5733,09827","5907,673356","5973,714187"
-1858728,"5690,431161","6338,850425","5374,964873","6120,328824","5797,872856","5798,945831","3356,143118","6155,607831","5209,107189","6223,286573","5510,221925","4329,334448","6355,858768","5630,246955","5886,67456","5957,513085","6076,509709","5515,729485","5699,184265","4754,989648","5674,086266"
-1858727,"6201,026178","6286,734122","5871,424954","6627,363761","6119,163033","6025,575238","4678,765361","6236,190584","5897,090408","6521,532226","6359,869335","5185,106794","6233,763938","5887,681302","6541,041435","6310,700455","6439,567464","5957,943662","5873,553333","5324,911282","5789,171282"
-1858726,"7735,483112","8014,496418","7703,564257","7914,762048","7708,654762","7815,554563","7182,368056","7962,53869","7884,4375","7920,070437","7950,071429","7501,771825","8075,082505","7846,270729","8000,126873","7995,798387","7924,624622","7721,724521","7927,900503","7292,359077","7738,14343"
-1858725,"7416,797943","7594,914416","7668,424528","7744,208156","7727,425493","7475,646578","7467,698062","7538,169646","7479,874583","7596,643636","7734,192903","7619,529876","7733,545068","7755,301437","7820,742123","7896,043811","7980,784314","7524,019608","7496,256583","7254,005204","7569,088766"
-1858724,"5635,375541","5865,364045","5827,431856","5929,972829","5471,227705","5410,112871","5780,137804","5626,655587","5772,347586","5932,248706","5790,897779","5897,387506","5915,794722","5517,940204","5497,662991","6189,492398","6197,666834","5800,215408","6022,04111","5588,297293","5358,27373"
-1858723,"5028,015984","5662,872128","4712,722777","5062,320679","4706,99351","4813,771229","3436,777722","4950,164589","5427,049377","5854,903242","4840,981038","3798,552036","5797,067976","5455,427346","5274,214141","5557,928283","5078,721212","5420,548272","5546,112016","3781,037774","5557,221542"
-1858722,"7978,039224","8190,705385","8133,711393","8108,798843","8014,628171","7872,443925","8031,752114","8089,303516","8145,817757","7870,255063","8175,337414","8012,072064","8207,981539","8094,145463","8178,038701","8304,367297","8422,068298","8182,235189","8253,900826","7715,988603","7757,323799"
-1858721,"6973,751293","7204,160197","6967,217909","7039,671151","7029,445105","6914,219065","7191,360372","7226,133041","6915,015242","6853,895893","7018,974684","6885,281541","7279,406929","7098,285677","7093,889004","7339,540681","7305,720561","7078,512747","7204,199374","6821,692067","6693,527662"
-1858720,"5781,445809","6131,751126","6052,625725","6047,102038","6085,866321","5546,129339","6057,800169","5838,945629","5745,541851","5858,821028","5908,634718","5922,810003","6306,293044","6280,230105","6241,446827","6336,556243","6293,60515","5904,391638","5981,765387","5452,752353","5579,119768"
-1858719,"5694,056526","6008,06109","5831,906087","5886,427425","5724,34711","5691,566375","6028,726459","5953,934799","5721,000373","5718,594534","5762,826282","5830,893673","6343,473605","5635,444992","5834,900986","6256,533966","6059,570557","5776,163359","5978,213574","5790,092791","5526,571319"
